sn_name,sn_ra,sn_dec,sn_redshift,host_candi_id,host_ra,host_dec,host_specz
ZTF18abssukb,227.2636,31.94108,0.11,1237662225156473048,227.2624,31.94009,0.11025560000000001
ZTF18abtfrbf,7.602641,-1.264157,0.0569,1237678882097660056,7.6023710000000015,-1.262365,0.05702774
ZTF18absdjms,271.2031,24.95402,0.08,1237666211929653869,271.2026,24.95408,-99.0
ZTF18abshtdj,23.67311,-5.634792,0.062556,1237679253056127079,23.6743,-5.631642,-99.0
ZTF18abshmro,36.6971,-9.06731,0.0543,1237673700741808178,36.69735,-9.066974,0.05430928
ZTF18absqhza,24.04691,27.27481,0.06,1237679564986056780,24.04512,27.27765,-99.0
ZTF18abssuxz,244.4516,41.46955,0.0649,1237659330314109024,244.4506,41.47038,0.06491995
ZTF18absgnio,351.2358,9.4313,0.06,1237678906241908887,351.2358,9.431281,-99.0
ZTF18absyyig,338.2876,4.1297510000000015,0.041,1237678824640020719,338.2876,4.129522,-99.0
ZTF18abtmbaz,31.41899,19.09217,0.069,1237679540827848918,31.41915,19.09208,-99.0
ZTF18abtfvsk,18.82545,-6.85907,0.02,1237680243069223051,18.82417,-6.858494,-99.0
ZTF18abtogdl,267.7971,53.31446999999999,0.105,1237655747781395043,267.797,53.31446,-99.0
ZTF18absstyb,238.0925,22.93234,0.052729999999999985,1237665128564720069,238.0915,22.9322,0.0527325
ZTF18abupgql,19.0154,-0.1174502,0.046,1237666339190014082,19.0138,-0.1146431,0.04616641
ZTF18abtrvkm,41.49721,42.5415,0.038643,1237661119701057801,41.49891,42.5423,-99.0
ZTF18abuhyjv,39.06522,-1.199655,0.0471,1237660024520835206,39.06508,-1.200052,0.04711996
ZTF18abuhzfc,16.16165,-4.258173,0.0383,1237679255200334055,16.16169,-4.258133,-99.0
ZTF18abvejbm,14.26092,-0.8738551999999999,0.044160000000000005,1237666338114240519,14.25854,-0.8751883,0.04416009
ZTF18abvbayb,262.8015,79.0543,0.13,1237663269869519115,262.7966,79.05325,-99.0
ZTF18abqapch,7.043359,37.26034,0.08800000000000001,1237659931070169987,7.043642,37.25989000000001,-99.0
